food item,price,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein,notes
"Triple Meat Italiano, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99,76,240,110,12,30,720,22,1,4,11,
"Spicy Sicilian, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99,81,220,90,10,25,750,22,1,4,9,
"Ultimate Cheese Lover's, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99,65,220,100,11,25,600,21,1,4,10,
"Cheese Only, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",11.99,84,220,70,8,25,550,26,1,4,10,
"Pepperoni, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",13.74,83,230,80,9,25,610,25,1,3,10,
"Supreme, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,106,260,110,12,30,680,26,1,4,12,
"Pepperoni & Mushroom, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,91,210,70,8,20,540,26,1,4,10,
"Italian Sausage & Red Onion, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,99,240,90,10,25,580,27,1,4,11,
"Ham & Pineapple, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,91,200,60,6,20,550,27,1,5,9,
"Veggie Lover's®, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,102,200,60,6,15,530,27,2,4,9,
"Meat Lover's®, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,105,300,140,16,40,860,26,1,4,14,
"Pepperoni Lover's®, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,95,270,120,13,35,770,26,1,4,13,
"Hawaiian Luau, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",11.99,98,240,80,9,25,640,27,1,5,11,
"Dan's Original, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,103,260,110,12,30,650,26,1,4,12,
"Triple Meat Italiano, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,96,260,110,12,30,730,26,1,4,12,
"Spicy Sicilian, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,99,240,100,11,25,730,26,1,4,11,
"Ultimate Cheese Lover's, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,82,240,100,11,30,590,25,1,3,11,
"Cheese Only Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,85,220,70,8,25,580,26,1,4,10,
"Pepperoni Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,83,230,80,9,25,640,26,1,4,10,
