food item,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein
"Cheese Only, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",91.0,240.0,90.0,10.0,25.0,530.0,27.0,1.0,2.0,11.0
"Pepperoni, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",90.0,250.0,110.0,12.0,25.0,590.0,26.0,1.0,2.0,11.0
"Supreme, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",112.0,290.0,130.0,14.0,30.0,650.0,27.0,2.0,2.0,12.0
"Pepperoni & Mushroom, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",97.0,240.0,90.0,10.0,20.0,520.0,27.0,1.0,2.0,10.0
"Italian Sausage & Red Onion, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",106.0,270.0,110.0,13.0,25.0,560.0,28.0,1.0,3.0,11.0
"Ham & Pineapple, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",97.0,230.0,80.0,9.0,20.0,520.0,28.0,1.0,3.0,10.0
"Veggie Lover's®, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",107.0,230.0,80.0,9.0,15.0,500.0,28.0,2.0,3.0,9.0
"Meat Lover's®, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",113.0,330.0,160.0,18.0,40.0,830.0,27.0,1.0,2.0,14.0
"Pepperoni Lover's®, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",101.0,290.0,130.0,14.0,35.0,730.0,27.0,1.0,2.0,13.0
"Hawaiian Luau, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",104.0,260.0,100.0,12.0,25.0,610.0,28.0,1.0,3.0,11.0
"Dan's Original, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",110.0,280.0,130.0,14.0,30.0,630.0,27.0,1.0,2.0,12.0
"Triple Meat Italiano, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",103.0,290.0,130.0,15.0,30.0,700.0,27.0,1.0,2.0,13.0
"Spicy Sicilian, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",106.0,270.0,120.0,13.0,25.0,700.0,27.0,2.0,2.0,11.0
"Ultimate Cheese Lover's, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",92.0,270.0,120.0,13.0,25.0,580.0,26.0,1.0,2.0,12.0
"Cheese Only, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",65.0,190.0,70.0,8.0,25.0,550.0,22.0,1.0,4.0,9.0
"Pepperoni, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",63.0,200.0,80.0,9.0,25.0,610.0,21.0,1.0,4.0,9.0
"Supreme, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",88.0,240.0,110.0,12.0,30.0,670.0,23.0,1.0,4.0,10.0
"Pepperoni & Mushroom, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",73.0,180.0,70.0,8.0,20.0,540.0,22.0,1.0,4.0,9.0
"Italian Sausage & Red Onion, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",81.0,220.0,90.0,10.0,25.0,580.0,23.0,1.0,4.0,9.0
"Ham & Pineapple, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",73.0,180.0,60.0,6.0,20.0,540.0,23.0,1.0,5.0,8.0
"Veggie Lover's®, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",86.0,180.0,60.0,6.0,15.0,530.0,23.0,1.0,4.0,8.0
"Meat Lover's®, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",85.0,280.0,140.0,16.0,40.0,860.0,22.0,1.0,4.0,13.0
"Pepperoni Lover's®, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",75.0,250.0,110.0,13.0,35.0,760.0,22.0,1.0,4.0,12.0
"Hawaiian Luau, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",81.0,220.0,90.0,10.0,25.0,650.0,24.0,1.0,5.0,10.0
"Dan's Original, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",85.0,240.0,110.0,12.0,30.0,650.0,22.0,1.0,4.0,11.0
"Triple Meat Italiano, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",76.0,240.0,110.0,12.0,30.0,720.0,22.0,1.0,4.0,11.0
"Spicy Sicilian, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",81.0,220.0,90.0,10.0,25.0,750.0,22.0,1.0,4.0,9.0
"Ultimate Cheese Lover's, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",65.0,220.0,100.0,11.0,25.0,600.0,21.0,1.0,4.0,10.0
"Cheese Only, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",84.0,220.0,70.0,8.0,25.0,550.0,26.0,1.0,4.0,10.0
"Pepperoni, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",83.0,230.0,80.0,9.0,25.0,610.0,25.0,1.0,3.0,10.0
"Supreme, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",106.0,260.0,110.0,12.0,30.0,680.0,26.0,1.0,4.0,12.0
"Pepperoni & Mushroom, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",91.0,210.0,70.0,8.0,20.0,540.0,26.0,1.0,4.0,10.0
"Italian Sausage & Red Onion, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",99.0,240.0,90.0,10.0,25.0,580.0,27.0,1.0,4.0,11.0
"Ham & Pineapple, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",91.0,200.0,60.0,6.0,20.0,550.0,27.0,1.0,5.0,9.0
"Veggie Lover's®, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",102.0,200.0,60.0,6.0,15.0,530.0,27.0,2.0,4.0,9.0
"Meat Lover's®, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",105.0,300.0,140.0,16.0,40.0,860.0,26.0,1.0,4.0,14.0
"Pepperoni Lover's®, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",95.0,270.0,120.0,13.0,35.0,770.0,26.0,1.0,4.0,13.0
"Hawaiian Luau, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",98.0,240.0,80.0,9.0,25.0,640.0,27.0,1.0,5.0,11.0
"Dan's Original, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",103.0,260.0,110.0,12.0,30.0,650.0,26.0,1.0,4.0,12.0
"Triple Meat Italiano, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",96.0,260.0,110.0,12.0,30.0,730.0,26.0,1.0,4.0,12.0
"Spicy Sicilian, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",99.0,240.0,100.0,11.0,25.0,730.0,26.0,1.0,4.0,11.0
"Ultimate Cheese Lover's, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",82.0,240.0,100.0,11.0,30.0,590.0,25.0,1.0,3.0,11.0
"Cheese Only Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",85.0,220.0,70.0,8.0,25.0,580.0,26.0,1.0,4.0,10.0
"Pepperoni Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",83.0,230.0,80.0,9.0,25.0,640.0,26.0,1.0,4.0,10.0
"Supreme Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",107.0,260.0,110.0,12.0,30.0,700.0,27.0,1.0,4.0,12.0
"Pepperoni & Mushroom Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",92.0,210.0,70.0,8.0,20.0,570.0,26.0,1.0,4.0,10.0
"Italian Sausage & Red Onion Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",100.0,250.0,90.0,10.0,25.0,610.0,28.0,1.0,4.0,11.0
"Ham & Pineapple Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",92.0,210.0,60.0,6.0,20.0,570.0,28.0,1.0,5.0,9.0
"Veggie Lover's® Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",103.0,200.0,60.0,7.0,15.0,550.0,27.0,2.0,4.0,9.0
"Meat Lover's® Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",106.0,310.0,140.0,16.0,40.0,890.0,26.0,1.0,4.0,14.0
"Pepperoni Lover's® Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",96.0,280.0,120.0,13.0,35.0,790.0,27.0,1.0,4.0,13.0
