food item,price
Diet Pepsi®,2.29
Diet Pepsi,2.56
Diet Pepsi,3.83
Sierra Mist®,2.29
Sierra Mist,2.56
Sierra Mist,3.38
Enchilidas Verdas o Rojas,8.99
Flautas,8.99
Chile Verde o Rojo,8.99
Carne con Chile,8.99
Chille Rellenos,8.99
Pollo Asado/Grilled Chicken,8.99
Carne Asada,9.99
Costillas en Salsa Verde o Roja,8.99
Huevos Rancheros,7.49
Huevos a la Mexicana,7.49
Huevos con Chorizo,7.49
Chilaquiles Rojos o Verdes,8.99
Steak & Eggs,9.99
Menudo,11.99
Pozole Soup,11.99
Caldo de Rez Soup,11.99
Caldo de Pollo/Chicken Soup,11.99
Caldo de Camaron/Shrimp Soup,11.99
Asada/Steak Fajitas,11.99
Pollo/Chicken Fajitas,11.99
Camaron/Shrimp Fajitas,11.99
Pescado Frito/ Fried Fish,12.99
Coctel De Caamaron/Shrimp Cocktail,11.99
Camarones a la diabla,11.99
Camarones a la Plancha,11.99
Camarones al Ajo,11.99
Camarones Espanizados,11.99
Asada/Steak Taco,1.49
Lengua/Tongue Taco,1.49
Carnitas/Fried Pork Taco,1.49
Cabeza/Head Taco,1.49
Pastor/Spicy Pork Taco,1.49
Molida/Ground Beef Taco,1.49
Pollo/Chicken Taco,1.49
Tripas Taco,1.49
Pescado/Fish Taco,1.49
Camaron/Shrimp Taco,1.49
Chile Verde o Roto Taco,1.49
Asada/Steak Crispy Taco,2.49
Lengua/Tongue Crispy Taco,2.49
Carnitas/Fried Pork Crispy Taco,2.49
Cabeza/Head Crispy Taco,2.49
Pastor/Spicy Pork Crispy Taco,2.49
Molida/Ground Beef Crispy Taco,2.49
Pollo/Chicken Crispy Taco,2.49
Tripas Crispy Taco,2.49
Pescado/Fish Crispy Taco,2.49
Camaron/Shrimp Crispy Taco,2.49
Chile Verde o Roto Crispy Taco,2.49
Lengua/Tongue Burrito,7.99
Carnitas/Fried Pork Burrito,7.99
Cabeza/Head Burrito,7.99
Pastor/Spicy Pork Burrito,7.99
Molida/Ground Beef Burrito,7.99
Pollo/Chicken Burrito,7.99
Tripas Burrito,7.99
Pescado/Fish Burrito,7.99
Camaron/Shrimp Burrito,7.99
Chile Verde o Roto Burrito,7.99
Chimichanga,8.99
Wet Burrito,8.99
Tortas/Sandwich,7.99
